Number of Cities: 35
Number of Cities: 35Starting point: 33
Ending point: 23

EdgeMatrix: 
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
24	94	0	0	0	0	0	0	0	0	0	95	96	0	0	0	0	92	0	0	96	0	0	98	0	0	2	91	0	95	91	95	0	0	4	99	
25	0	2	0	5	97	5	3	0	5	0	0	4	0	0	0	0	4	95	92	0	0	0	5	4	0	95	0	96	0	5	0	0	0	0	0	
26	3	0	0	97	0	95	96	0	0	0	99	5	0	4	0	0	91	0	5	0	96	0	92	0	96	0	95	94	5	96	2	0	98	0	0	
27	0	0	0	0	0	0	91	0	95	98	0	90	0	91	0	0	0	0	0	0	97	4	0	0	93	3	0	0	2	0	2	92	2	0	4	
28	99	5	4	5	0	0	0	94	0	3	95	3	5	94	0	99	96	0	0	0	95	0	99	0	2	0	2	0	2	96	90	0	0	4	0	
29	0	0	0	0	98	0	4	0	0	0	97	5	94	97	0	97	0	92	0	0	0	0	0	0	94	90	0	99	0	0	2	0	0	0	0	
30	0	96	0	0	4	0	0	92	0	93	0	0	0	5	0	0	0	0	0	0	0	97	0	0	0	0	0	0	4	0	0	0	92	0	2	
31	0	0	3	0	5	0	0	98	0	0	0	0	0	2	5	2	0	0	5	0	0	3	0	0	90	0	0	5	5	0	0	0	0	0	90	
32	0	0	92	0	93	0	0	0	96	0	0	97	0	0	0	0	0	93	0	98	0	0	0	5	94	0	91	0	98	0	0	0	0	0	0	
33	0	97	4	0	0	0	0	2	0	0	99	0	0	5	5	99	0	0	0	0	0	3	0	0	4	3	0	5	3	2	0	0	0	0	0	
34	0	2	3	0	4	4	0	97	0	2	0	0	96	0	4	0	3	3	2	0	0	2	95	0	93	0	0	5	2	90	0	0	5	0	0	
35	0	92	0	5	4	3	0	2	5	0	0	0	5	0	0	0	0	0	4	0	0	0	5	0	0	94	0	0	0	0	0	0	4	0	0	

All-Pairs Shortest Path Matrix:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
1	0	14	13	5	4	9	3	16	12	14	10	2	17	2	11	11	7	13	18	16	16	17	9	16	7	18	8	8	20	6	18	13	7	11	5	
2	4	0	11	9	7	11	7	2	12	3	8	6	3	5	8	8	5	10	6	2	5	7	6	13	10	4	12	9	6	8	7	12	7	8	7	
3	11	11	0	4	10	8	2	13	8	11	10	10	14	11	7	7	6	12	14	13	12	14	8	12	10	15	7	7	17	12	16	11	3	10	4	
4	7	9	10	0	9	11	10	11	17	9	7	9	12	7	16	16	2	8	15	11	14	12	4	21	12	13	3	3	15	11	13	8	12	6	7	
5	13	11	9	6	0	14	11	13	8	11	6	10	14	9	7	7	8	11	14	13	12	14	7	12	10	15	9	4	17	2	16	11	3	9	10	
6	13	9	5	9	7	0	7	11	13	9	2	15	12	5	12	12	11	8	15	11	14	12	4	17	10	13	12	11	15	4	16	16	8	6	7	
7	9	11	11	2	11	6	0	13	19	11	8	11	14	9	18	18	4	10	17	13	16	14	6	23	14	15	5	5	17	10	15	10	14	8	2	
8	10	6	9	7	9	9	6	0	12	9	6	9	9	9	6	6	9	9	12	8	3	5	7	11	8	2	10	7	12	6	13	10	7	9	5	
9	11	7	8	7	7	9	8	9	0	7	5	13	10	5	14	14	9	6	13	9	12	10	2	19	2	11	5	10	13	9	14	10	10	4	5	
10	4	8	9	7	8	10	7	10	9	0	6	6	11	6	8	8	9	7	14	10	13	11	3	13	11	12	10	10	14	5	15	12	4	5	6	
11	14	14	3	7	5	11	5	16	11	14	0	13	17	3	10	10	9	15	17	16	15	17	11	15	8	18	10	9	20	7	19	14	6	13	7	
12	94	96	99	95	98	99	97	98	97	90	96	0	99	96	96	96	97	97	102	98	101	101	93	101	99	100	98	98	102	95	103	100	92	95	95	
13	3	12	13	8	4	12	6	14	12	12	10	5	0	2	11	11	5	11	18	14	16	15	7	16	7	16	11	8	18	6	19	15	7	9	8	
14	15	13	11	8	2	16	13	15	10	13	8	12	16	0	9	9	10	13	16	15	14	16	9	14	5	17	11	6	19	4	18	13	5	11	12	
15	14	14	9	7	3	11	11	16	11	13	9	13	13	9	0	10	9	8	7	8	15	12	10	5	13	18	10	7	12	5	9	4	6	12	7	
16	8	4	12	7	11	14	11	6	9	4	9	3	7	9	8	0	9	11	10	6	5	7	7	13	10	8	10	10	10	5	11	12	4	9	10	
17	5	7	8	9	7	9	8	9	15	7	5	7	10	5	14	14	0	6	13	9	12	10	2	19	10	11	12	11	13	9	14	17	10	4	5	
18	8	12	13	3	9	14	11	14	11	12	10	10	5	7	10	10	5	0	17	14	15	4	7	15	7	16	6	6	18	11	16	11	6	9	10	
19	23	23	12	16	14	20	14	25	20	23	9	22	26	12	19	19	18	24	0	25	24	26	20	24	17	27	19	18	29	5	28	23	15	22	16	
20	8	10	11	11	10	12	11	12	13	9	8	10	13	8	8	8	3	9	4	0	13	6	5	13	9	14	14	14	4	9	5	12	8	7	8	
21	11	7	12	4	6	13	12	9	9	7	9	6	10	9	3	3	6	6	10	9	0	2	6	8	5	11	7	7	13	8	12	7	4	8	9	
22	12	9	10	5	9	11	10	11	7	9	7	9	9	7	6	6	7	4	13	11	11	0	4	11	3	13	8	8	15	11	15	10	2	6	7	
23	9	5	6	7	5	7	6	7	13	5	3	11	8	3	12	12	9	4	11	7	10	8	0	17	8	9	10	9	11	7	12	15	8	2	3	
24	9	11	4	2	6	6	6	13	12	11	8	11	14	4	11	11	4	10	2	3	16	9	6	0	9	15	5	5	7	7	8	10	7	8	2	
25	95	100	99	91	96	94	97	102	104	96	96	97	92	94	97	102	93	95	101	101	99	99	95	99	0	104	94	94	105	98	96	99	99	93	90	
26	8	4	7	6	7	10	4	6	15	7	4	10	7	7	4	12	8	9	10	6	9	11	5	9	12	0	9	5	10	4	11	8	10	7	6	
27	9	11	12	2	11	13	12	13	19	11	9	11	14	9	18	18	4	9	17	13	16	13	6	23	14	15	0	5	17	9	10	5	14	8	9	
28	12	8	9	10	8	10	9	10	16	8	6	14	11	6	15	15	12	7	14	10	13	11	3	20	11	12	13	0	14	10	15	18	11	5	6	
29	12	8	12	7	7	13	12	10	9	8	9	7	11	9	4	4	9	6	11	10	9	2	6	9	5	12	10	10	0	9	13	8	4	8	9	
30	18	18	7	11	9	15	9	20	15	18	4	17	21	7	14	14	13	19	21	20	19	21	15	19	12	22	14	13	24	0	23	18	10	17	11	
31	8	12	13	11	12	14	11	14	13	4	10	10	15	10	12	12	8	11	9	5	17	11	7	17	14	16	14	14	9	9	0	16	8	9	10	
32	12	16	11	7	13	18	13	18	15	9	8	14	9	11	14	14	9	4	14	10	19	8	11	19	11	20	10	10	14	4	5	0	10	13	14	
33	10	8	13	3	7	14	13	10	5	8	10	7	11	10	4	4	5	11	11	10	9	11	7	9	7	12	6	6	14	9	13	8	0	9	10	
34	7	11	12	5	11	10	4	13	12	3	9	9	7	9	11	11	7	2	17	13	16	6	6	16	9	15	8	8	17	8	18	13	7	0	6	
35	17	13	9	13	11	4	11	15	17	13	6	19	16	9	16	16	15	12	19	15	18	16	8	21	14	17	16	15	19	8	20	20	12	10	0	
Computation took 1.590519 milliseconds

Actual Shortest-Paths:
1 -> 	1: [ 1 ]; 	2: [ 1 7 4 17 23 2 ]; 	3: [ 1 14 5 30 11 3 ]; 	4: [ 1 7 4 ]; 	5: [ 1 14 5 ]; 	6: [ 1 7 35 6 ]; 	7: [ 1 7 ]; 	8: [ 1 7 4 17 23 2 8 ]; 	9: [ 1 14 5 33 9 ]; 	10: [ 1 7 4 17 23 34 10 ]; 	11: [ 1 14 5 30 11 ]; 	12: [ 1 12 ]; 	13: [ 1 7 4 17 23 2 13 ]; 	14: [ 1 14 ]; 	15: [ 1 14 5 33 15 ]; 	16: [ 1 14 5 33 16 ]; 	17: [ 1 7 4 17 ]; 	18: [ 1 7 4 17 23 34 18 ]; 	19: [ 1 14 5 33 15 24 19 ]; 	20: [ 1 7 4 17 23 2 20 ]; 	21: [ 1 14 5 33 16 21 ]; 	22: [ 1 7 4 17 23 34 18 22 ]; 	23: [ 1 7 4 17 23 ]; 	24: [ 1 14 5 33 15 24 ]; 	25: [ 1 14 25 ]; 	26: [ 1 7 4 17 23 2 8 26 ]; 	27: [ 1 7 4 27 ]; 	28: [ 1 7 4 28 ]; 	29: [ 1 7 4 17 23 2 20 29 ]; 	30: [ 1 14 5 30 ]; 	31: [ 1 7 4 27 32 31 ]; 	32: [ 1 7 4 27 32 ]; 	33: [ 1 14 5 33 ]; 	34: [ 1 7 4 17 23 34 ]; 	35: [ 1 7 35 ]; 
2 -> 	1: [ 2 1 ]; 	2: [ 2 ]; 	3: [ 2 8 26 11 3 ]; 	4: [ 2 1 7 4 ]; 	5: [ 2 13 14 5 ]; 	6: [ 2 8 35 6 ]; 	7: [ 2 1 7 ]; 	8: [ 2 8 ]; 	9: [ 2 10 33 9 ]; 	10: [ 2 10 ]; 	11: [ 2 8 26 11 ]; 	12: [ 2 1 12 ]; 	13: [ 2 13 ]; 	14: [ 2 13 14 ]; 	15: [ 2 8 21 15 ]; 	16: [ 2 8 21 16 ]; 	17: [ 2 20 17 ]; 	18: [ 2 10 23 34 18 ]; 	19: [ 2 20 19 ]; 	20: [ 2 20 ]; 	21: [ 2 8 21 ]; 	22: [ 2 8 21 22 ]; 	23: [ 2 10 23 ]; 	24: [ 2 8 21 15 24 ]; 	25: [ 2 13 14 25 ]; 	26: [ 2 8 26 ]; 	27: [ 2 1 7 4 27 ]; 	28: [ 2 8 26 28 ]; 	29: [ 2 20 29 ]; 	30: [ 2 10 30 ]; 	31: [ 2 20 31 ]; 	32: [ 2 8 21 15 32 ]; 	33: [ 2 10 33 ]; 	34: [ 2 10 23 34 ]; 	35: [ 2 8 35 ]; 
3 -> 	1: [ 3 7 4 17 1 ]; 	2: [ 3 33 16 2 ]; 	3: [ 3 ]; 	4: [ 3 7 4 ]; 	5: [ 3 33 15 5 ]; 	6: [ 3 7 35 6 ]; 	7: [ 3 7 ]; 	8: [ 3 33 16 2 8 ]; 	9: [ 3 33 9 ]; 	10: [ 3 33 16 10 ]; 	11: [ 3 7 35 6 11 ]; 	12: [ 3 33 16 12 ]; 	13: [ 3 33 16 2 13 ]; 	14: [ 3 7 4 17 23 14 ]; 	15: [ 3 33 15 ]; 	16: [ 3 33 16 ]; 	17: [ 3 7 4 17 ]; 	18: [ 3 7 4 17 23 34 18 ]; 	19: [ 3 33 15 24 19 ]; 	20: [ 3 33 16 2 20 ]; 	21: [ 3 33 16 21 ]; 	22: [ 3 33 16 21 22 ]; 	23: [ 3 7 4 17 23 ]; 	24: [ 3 33 15 24 ]; 	25: [ 3 33 9 25 ]; 	26: [ 3 33 16 2 8 26 ]; 	27: [ 3 7 4 27 ]; 	28: [ 3 7 4 28 ]; 	29: [ 3 33 16 2 20 29 ]; 	30: [ 3 33 15 5 30 ]; 	31: [ 3 33 15 32 31 ]; 	32: [ 3 33 15 32 ]; 	33: [ 3 33 ]; 	34: [ 3 7 4 17 23 34 ]; 	35: [ 3 7 35 ]; 
4 -> 	1: [ 4 17 1 ]; 	2: [ 4 17 23 2 ]; 	3: [ 4 17 23 11 3 ]; 	4: [ 4 ]; 	5: [ 4 17 23 5 ]; 	6: [ 4 17 23 35 6 ]; 	7: [ 4 17 1 7 ]; 	8: [ 4 17 23 2 8 ]; 	9: [ 4 17 23 5 33 9 ]; 	10: [ 4 17 23 34 10 ]; 	11: [ 4 17 23 11 ]; 	12: [ 4 17 1 12 ]; 	13: [ 4 17 23 2 13 ]; 	14: [ 4 17 23 14 ]; 	15: [ 4 17 23 5 33 15 ]; 	16: [ 4 17 23 5 33 16 ]; 	17: [ 4 17 ]; 	18: [ 4 17 23 34 18 ]; 	19: [ 4 17 23 2 20 19 ]; 	20: [ 4 17 23 2 20 ]; 	21: [ 4 17 23 2 8 21 ]; 	22: [ 4 17 23 34 18 22 ]; 	23: [ 4 17 23 ]; 	24: [ 4 17 23 5 33 15 24 ]; 	25: [ 4 17 23 14 25 ]; 	26: [ 4 17 23 2 8 26 ]; 	27: [ 4 27 ]; 	28: [ 4 28 ]; 	29: [ 4 17 23 2 20 29 ]; 	30: [ 4 17 23 5 30 ]; 	31: [ 4 27 32 31 ]; 	32: [ 4 27 32 ]; 	33: [ 4 17 23 5 33 ]; 	34: [ 4 17 23 34 ]; 	35: [ 4 17 23 35 ]; 
5 -> 	1: [ 5 33 4 17 1 ]; 	2: [ 5 33 16 2 ]; 	3: [ 5 30 11 3 ]; 	4: [ 5 33 4 ]; 	5: [ 5 ]; 	6: [ 5 28 23 35 6 ]; 	7: [ 5 30 11 3 7 ]; 	8: [ 5 33 16 2 8 ]; 	9: [ 5 33 9 ]; 	10: [ 5 33 16 10 ]; 	11: [ 5 30 11 ]; 	12: [ 5 33 16 12 ]; 	13: [ 5 33 16 2 13 ]; 	14: [ 5 30 11 14 ]; 	15: [ 5 33 15 ]; 	16: [ 5 33 16 ]; 	17: [ 5 33 4 17 ]; 	18: [ 5 28 23 34 18 ]; 	19: [ 5 33 15 24 19 ]; 	20: [ 5 33 16 2 20 ]; 	21: [ 5 33 16 21 ]; 	22: [ 5 33 16 21 22 ]; 	23: [ 5 28 23 ]; 	24: [ 5 33 15 24 ]; 	25: [ 5 33 9 25 ]; 	26: [ 5 33 16 2 8 26 ]; 	27: [ 5 33 4 27 ]; 	28: [ 5 28 ]; 	29: [ 5 33 16 2 20 29 ]; 	30: [ 5 30 ]; 	31: [ 5 33 15 32 31 ]; 	32: [ 5 33 15 32 ]; 	33: [ 5 33 ]; 	34: [ 5 28 23 34 ]; 	35: [ 5 28 23 35 ]; 
6 -> 	1: [ 6 23 2 1 ]; 	2: [ 6 23 2 ]; 	3: [ 6 11 3 ]; 	4: [ 6 11 3 7 4 ]; 	5: [ 6 11 14 5 ]; 	6: [ 6 ]; 	7: [ 6 11 3 7 ]; 	8: [ 6 23 2 8 ]; 	9: [ 6 11 3 33 9 ]; 	10: [ 6 23 34 10 ]; 	11: [ 6 11 ]; 	12: [ 6 23 2 1 12 ]; 	13: [ 6 23 2 13 ]; 	14: [ 6 11 14 ]; 	15: [ 6 11 3 33 15 ]; 	16: [ 6 11 3 33 16 ]; 	17: [ 6 11 3 7 4 17 ]; 	18: [ 6 23 34 18 ]; 	19: [ 6 23 2 20 19 ]; 	20: [ 6 23 2 20 ]; 	21: [ 6 23 2 8 21 ]; 	22: [ 6 23 34 18 22 ]; 	23: [ 6 23 ]; 	24: [ 6 11 3 33 15 24 ]; 	25: [ 6 11 14 25 ]; 	26: [ 6 23 2 8 26 ]; 	27: [ 6 11 3 7 4 27 ]; 	28: [ 6 11 14 5 28 ]; 	29: [ 6 23 2 20 29 ]; 	30: [ 6 30 ]; 	31: [ 6 23 2 20 31 ]; 	32: [ 6 11 3 33 15 32 ]; 	33: [ 6 11 3 33 ]; 	34: [ 6 23 34 ]; 	35: [ 6 23 35 ]; 
7 -> 	1: [ 7 4 17 1 ]; 	2: [ 7 4 17 23 2 ]; 	3: [ 7 35 6 11 3 ]; 	4: [ 7 4 ]; 	5: [ 7 4 17 23 5 ]; 	6: [ 7 35 6 ]; 	7: [ 7 ]; 	8: [ 7 4 17 23 2 8 ]; 	9: [ 7 4 17 23 5 33 9 ]; 	10: [ 7 4 17 23 34 10 ]; 	11: [ 7 35 6 11 ]; 	12: [ 7 4 17 1 12 ]; 	13: [ 7 4 17 23 2 13 ]; 	14: [ 7 4 17 23 14 ]; 	15: [ 7 4 17 23 5 33 15 ]; 	16: [ 7 4 17 23 5 33 16 ]; 	17: [ 7 4 17 ]; 	18: [ 7 4 17 23 34 18 ]; 	19: [ 7 4 17 23 2 20 19 ]; 	20: [ 7 4 17 23 2 20 ]; 	21: [ 7 4 17 23 2 8 21 ]; 	22: [ 7 4 17 23 34 18 22 ]; 	23: [ 7 4 17 23 ]; 	24: [ 7 4 17 23 5 33 15 24 ]; 	25: [ 7 4 17 23 14 25 ]; 	26: [ 7 4 17 23 2 8 26 ]; 	27: [ 7 4 27 ]; 	28: [ 7 4 28 ]; 	29: [ 7 4 17 23 2 20 29 ]; 	30: [ 7 35 6 30 ]; 	31: [ 7 4 27 32 31 ]; 	32: [ 7 4 27 32 ]; 	33: [ 7 4 17 23 5 33 ]; 	34: [ 7 4 17 23 34 ]; 	35: [ 7 35 ]; 
