Number of Cities: 50
Number of Cities: 50Starting point: 2
Ending point: 49

EdgeMatrix: 
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
15	INF	INF	INF	INF	INF	INF	INF	INF	80	52	32	INF	8	4	0	2	6	16	32	51	77	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
16	INF	INF	INF	INF	INF	INF	INF	INF	INF	79	50	30	15	5	2	0	2	8	14	31	52	80	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
17	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	80	50	30	14	6	2	0	4	8	15	30	50	78	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
18	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	50	32	15	INF	5	0	4	7	14	30	50	77	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
19	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	50	29	INF	7	INF	0	4	8	14	31	INF	79	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
20	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	80	51	32	14	8	5	0	3	6	INF	29	53	79	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
21	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	53	30	15	8	2	0	3	8	14	30	50	77	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
22	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	79	51	32	17	7	5	0	3	7	15	32	53	77	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
23	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	51	32	17	5	5	0	5	5	14	32	52	78	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
24	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	79	50	32	17	INF	4	0	3	5	17	INF	51	80	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
25	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	50	31	17	INF	INF	0	5	8	16	INF	INF	78	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
26	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	50	30	14	7	3	0	2	8	14	INF	51	80	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
27	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	80	50	31	14	7	3	0	INF	5	14	31	53	80	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
28	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	80	INF	32	16	6	4	0	4	INF	14	32	INF	77	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
29	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	52	31	14	5	2	0	2	6	17	32	53	79	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
30	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	53	30	15	8	3	0	5	5	17	INF	53	78	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
31	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	52	30	14	6	5	0	3	8	16	31	50	80	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
32	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	79	52	INF	14	6	2	0	4	5	16	INF	53	77	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
33	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	80	52	32	16	6	2	0	2	6	14	29	50	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
34	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	51	30	16	5	2	0	2	6	14	32	50	80	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
35	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	80	53	30	17	6	4	0	3	6	17	29	50	77	INF	INF	INF	INF	INF	INF	INF	INF	INF	
36	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	51	INF	16	5	3	0	4	8	17	30	INF	78	INF	INF	INF	INF	INF	INF	INF	INF	
37	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	53	32	15	95	2	0	2	7	16	32	51	79	INF	INF	INF	INF	INF	INF	INF	
38	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	52	32	15	8	3	0	3	7	15	31	52	80	INF	INF	INF	INF	INF	INF	
39	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	51	31	15	8	5	0	2	8	16	31	INF	78	INF	INF	INF	INF	INF	
40	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	30	14	7	5	0	5	7	17	29	51	77	INF	INF	INF	INF	
41	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	53	29	17	8	3	0	5	8	16	30	53	79	INF	INF	INF	
42	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	53	29	17	6	2	0	2	INF	17	30	53	78	INF	INF	
43	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	53	29	16	5	4	0	5	8	14	31	52	77	INF	
44	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	50	31	16	6	4	0	2	6	17	32	51	INF	
45	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	80	50	INF	15	5	4	0	4	5	16	29	52	
46	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	31	14	7	2	0	5	8	16	32	
47	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	51	29	14	7	INF	0	3	6	15	
48	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	51	31	15	INF	4	0	4	8	
49	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	77	53	29	14	8	4	0	4	
50	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	78	51	30	15	5	5	0	

FlowMatrix: 
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
1	0	0	0	0	0	3	0	96	0	0	0	0	5	0	96	0	0	2	0	0	0	0	93	0	97	98	0	0	0	0	99	0	0	0	0	0	0	90	0	0	0	0	3	90	2	0	0	0	95	0	
2	0	0	0	0	4	4	0	0	0	5	0	96	0	0	5	0	95	97	3	2	0	0	95	0	0	5	94	0	99	0	0	0	0	0	0	0	0	0	0	0	93	0	2	3	0	0	0	0	93	0	
3	3	98	0	0	0	0	0	95	0	0	96	0	94	0	0	0	98	0	0	0	0	0	0	0	0	91	0	0	0	0	95	0	98	0	0	3	0	2	0	0	95	94	0	4	0	0	0	0	0	93	
4	0	0	0	0	0	0	90	90	93	0	0	98	0	0	0	0	91	4	3	98	0	2	0	0	3	0	0	0	2	0	0	96	4	0	4	98	0	0	0	0	2	0	0	0	95	0	2	0	0	0	
5	4	4	0	0	0	90	0	0	0	0	92	0	4	0	0	90	0	0	0	0	0	5	0	93	99	0	0	3	0	0	0	2	2	0	3	0	95	2	0	4	91	4	2	0	0	2	0	93	93	0	
6	2	0	0	0	0	0	3	0	0	2	0	0	91	0	92	0	0	92	0	4	0	2	95	3	0	0	0	0	3	0	0	0	98	0	0	0	0	90	4	0	0	96	0	5	0	0	0	0	0	0	
7	95	0	0	3	0	0	0	3	0	4	0	0	0	97	0	3	91	0	0	91	0	0	90	0	91	3	90	3	0	0	0	0	0	0	0	94	0	2	0	5	0	90	0	0	0	0	0	96	0	3	
8	91	0	0	0	5	94	0	0	2	0	0	4	0	0	90	5	0	0	2	96	0	0	91	4	0	0	0	92	0	0	98	0	3	2	0	0	0	92	4	0	0	0	5	93	4	0	0	5	0	0	
9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	5	0	0	5	0	0	2	0	4	0	4	97	3	0	0	0	96	0	93	0	0	0	0	0	0	0	96	90	0	0	2	
10	2	0	0	2	0	2	4	0	0	0	0	94	0	0	0	0	0	0	0	90	2	98	96	0	0	0	4	0	0	4	99	4	0	0	92	0	0	92	0	95	0	5	4	3	95	96	0	5	0	96	
11	94	0	90	0	0	0	4	94	0	2	0	5	0	5	3	0	0	95	0	0	0	0	2	91	0	0	0	0	0	95	0	0	0	93	94	91	0	4	0	0	0	94	4	0	0	0	0	3	0	0	
12	0	99	0	0	98	4	0	0	4	2	0	0	4	0	0	0	0	0	0	0	2	0	0	3	0	0	93	0	0	93	91	91	0	0	0	97	0	96	97	0	0	0	97	95	0	0	5	96	97	92	
13	0	0	97	0	97	3	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	99	2	96	0	0	0	0	97	2	3	96	0	95	0	0	4	0	0	0	4	0	0	2	
14	97	0	0	0	0	97	0	0	3	0	2	0	5	0	4	0	3	3	0	99	91	0	90	91	0	0	0	2	4	0	0	96	0	4	4	0	5	92	93	3	0	0	99	4	0	97	92	0	97	5	
15	3	4	96	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	93	0	4	3	3	0	0	3	0	0	4	0	4	0	0	0	0	0	2	0	0	0	0	0	0	98	0	0	0	92	0	
16	0	96	0	0	2	4	0	2	0	98	5	0	0	0	4	0	0	0	94	4	2	99	0	0	93	4	4	0	0	92	4	0	93	0	0	0	5	4	0	95	0	94	96	94	0	0	0	3	0	0	
17	0	5	4	0	2	90	0	0	95	95	0	0	0	3	0	0	0	0	98	0	0	0	0	5	94	0	0	3	0	0	0	3	0	0	0	96	91	0	92	0	0	90	0	0	0	2	0	0	0	91	
18	0	4	5	0	0	0	0	4	96	5	0	95	4	0	95	0	96	0	91	93	4	0	0	3	0	94	0	92	0	0	0	95	0	99	0	0	0	0	98	2	0	0	94	0	5	0	0	0	0	3	
19	0	2	0	0	5	98	0	0	0	0	97	0	4	0	5	2	0	0	0	0	90	0	99	0	0	0	0	5	0	0	94	0	0	0	0	92	0	2	4	5	0	98	0	0	0	90	0	0	0	0	
20	0	0	0	0	0	91	96	0	0	90	4	0	0	0	0	0	0	4	94	0	95	0	0	4	0	5	0	0	5	0	0	0	0	0	97	0	0	0	2	3	2	0	0	0	0	97	92	0	97	0	
21	0	0	96	0	2	0	0	0	93	4	2	90	0	0	0	5	0	0	3	4	0	90	0	0	3	95	97	0	0	99	0	2	0	0	0	4	0	0	3	99	0	0	0	0	0	0	0	4	93	0	
22	4	0	0	0	0	0	0	0	0	0	4	2	4	0	0	0	2	0	0	0	3	0	0	0	2	94	0	0	0	2	0	0	93	0	91	0	0	0	91	0	0	92	0	0	4	0	0	5	0	0	
23	0	2	0	0	90	0	4	0	0	0	5	0	94	0	0	5	0	91	4	5	0	0	0	0	0	91	98	0	0	3	0	0	0	0	5	96	0	91	0	0	4	0	0	0	99	0	0	0	98	2	
24	4	0	99	0	0	0	0	3	0	3	0	0	0	0	98	0	92	2	4	0	0	0	5	0	0	92	98	0	0	0	0	0	93	0	98	5	0	90	0	91	0	97	2	0	95	91	3	0	0	93	
25	0	95	99	96	0	5	0	94	0	92	0	98	0	91	98	4	0	94	0	2	0	96	0	95	0	0	0	0	0	90	0	4	3	0	0	98	4	0	0	3	0	0	5	99	0	0	0	0	3	95	
26	0	0	90	0	0	0	99	0	0	4	0	0	0	92	0	0	0	0	5	0	0	0	0	0	0	0	0	0	97	0	0	0	4	4	91	91	90	4	0	0	2	93	0	4	0	4	2	0	0	0	
27	0	2	0	95	5	99	5	0	93	0	0	5	0	0	0	5	94	0	2	4	98	0	0	0	0	95	0	0	2	0	5	99	5	93	0	0	0	0	0	0	0	2	93	2	0	93	91	91	94	0	
28	0	0	0	0	98	0	0	4	0	0	91	0	92	0	0	0	0	93	0	0	0	99	4	94	0	0	5	0	0	3	95	0	4	0	0	0	0	3	0	2	0	0	98	0	4	0	0	0	0	0	
29	0	0	92	0	0	2	99	0	0	0	4	0	0	0	93	0	0	96	0	2	0	2	0	3	0	0	93	0	0	91	2	0	0	90	0	4	99	0	90	91	0	0	4	2	3	2	0	0	92	4	
30	4	94	90	0	0	0	94	93	0	2	0	4	0	3	0	2	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	96	91	0	0	0	5	93	2	0	0	96	97	0	0	92	0	
31	94	0	95	0	0	96	0	0	0	0	0	5	0	0	0	0	90	97	0	3	96	0	0	0	91	0	0	0	0	0	0	3	0	93	96	91	0	0	91	0	2	0	2	0	0	0	0	94	97	0	
32	0	3	0	0	0	2	0	90	0	0	0	98	0	92	98	2	0	0	97	91	94	0	0	5	0	0	0	0	95	0	0	0	95	0	0	4	98	0	0	91	4	0	0	3	0	0	4	0	0	0	
33	98	0	3	0	0	0	0	4	91	0	0	5	0	0	4	0	0	90	5	90	98	0	0	0	0	0	2	93	4	4	5	0	0	0	96	0	4	3	0	0	0	3	0	0	0	0	3	3	0	0	
34	0	3	2	97	91	0	0	0	3	0	0	96	99	0	92	0	0	94	95	0	0	4	0	3	4	2	4	90	0	0	3	0	3	0	0	4	2	96	0	5	0	0	0	2	0	0	2	0	99	0	
35	0	5	94	0	0	0	0	92	0	97	0	0	2	0	0	0	5	0	97	0	0	0	0	0	0	0	0	3	3	0	90	4	0	0	0	0	0	0	0	93	0	0	0	92	0	93	0	0	4	94	
36	4	94	5	0	2	0	91	92	0	97	0	0	0	0	99	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	5	0	5	0	0	0	
37	0	0	0	3	0	0	0	0	0	4	0	0	99	0	0	0	0	0	0	0	98	94	0	0	99	0	92	3	0	3	4	0	0	0	0	0	0	99	0	4	5	0	4	0	2	4	96	4	0	0	
38	4	96	98	0	3	0	0	0	0	0	0	0	94	95	0	0	0	0	0	5	0	92	0	0	0	0	97	0	0	0	0	0	0	96	4	0	0	0	0	94	0	5	94	90	0	0	5	0	93	0	
39	2	3	0	0	97	0	3	0	0	98	95	5	2	0	4	95	0	5	2	96	0	3	0	0	0	0	5	3	0	2	0	0	0	94	0	0	0	5	0	98	93	0	2	0	0	0	94	0	0	2	
40	0	0	0	0	95	0	0	0	0	0	0	96	0	0	0	95	0	0	0	0	0	2	0	0	0	0	4	0	0	99	0	0	0	2	5	0	0	0	0	0	0	5	0	0	0	5	99	0	0	0	
41	3	0	3	0	0	0	0	0	0	0	4	0	0	0	0	2	0	94	93	0	0	0	5	0	90	0	0	3	0	4	0	0	94	0	0	0	0	0	5	3	0	0	0	0	96	96	0	0	0	0	
42	0	2	0	0	0	0	94	0	97	0	0	98	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	91	0	0	5	0	0	
43	0	91	96	90	92	0	5	0	0	93	0	0	0	0	0	0	0	0	96	0	99	2	0	5	0	0	0	0	4	90	0	92	0	0	98	0	0	0	0	0	90	3	0	2	0	0	0	0	91	0	
44	94	0	0	0	0	0	96	2	0	90	2	0	0	2	90	5	95	99	0	0	0	0	0	0	0	0	0	0	2	3	4	92	0	0	0	91	2	0	92	0	0	0	0	0	5	0	0	2	0	5	
45	0	4	0	0	98	3	5	0	0	0	4	0	0	0	0	0	97	0	0	0	0	0	0	0	91	0	97	0	0	95	0	0	0	4	0	0	3	0	0	99	0	4	0	0	0	0	0	0	0	0	
46	0	94	0	93	0	0	0	4	0	0	0	5	92	0	0	0	0	96	0	4	92	0	0	0	0	4	0	0	92	4	93	4	95	0	4	0	99	0	0	99	0	0	0	3	0	0	0	0	0	0	
47	0	96	92	0	4	0	0	0	0	0	0	0	5	5	0	0	0	4	0	0	92	0	0	98	0	93	92	0	0	0	0	0	92	0	0	0	0	0	4	0	0	0	0	0	0	99	0	0	0	0	
48	2	5	96	4	0	0	0	5	2	0	91	0	0	2	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	91	2	0	98	0	2	0	90	0	5	96	94	0	94	0	0	0	
49	0	0	0	5	0	0	0	3	91	5	90	0	0	0	0	0	0	0	0	0	0	90	0	0	98	0	0	2	2	0	2	0	0	0	97	0	0	0	0	0	0	0	2	93	0	0	0	0	0	0	
50	0	0	2	0	0	5	0	0	90	0	0	0	0	98	0	5	0	2	0	0	0	0	0	0	0	91	0	0	0	0	0	92	0	0	0	0	0	0	92	0	0	96	2	2	0	4	0	98	0	0	

All-Pairs Shortest Path Matrix:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
1	0	5	9	10	13	15	18	21	23	25	29	30	39	38	43	45	47	51	55	58	61	64	67	71	72	76	78	84	83	85	89	90	94	95	97	100	103	105	108	110	115	117	119	124	126	130	131	134	137	141	
2	3	0	4	5	8	10	13	16	18	20	24	25	34	33	38	40	42	46	50	53	56	59	62	66	67	71	73	79	78	80	84	85	89	90	92	95	98	100	103	105	110	112	114	119	121	125	126	129	132	136	
3	6	3	0	5	8	10	13	16	18	20	24	25	34	33	38	40	42	46	50	53	56	59	62	66	67	71	73	79	78	80	84	85	89	90	92	95	98	100	103	105	110	112	114	119	121	125	126	129	132	136	
4	8	5	9	0	3	5	8	11	13	15	19	20	29	28	33	35	37	41	45	48	51	54	57	61	62	66	68	74	73	75	79	80	84	85	87	90	93	95	98	100	105	107	109	114	116	120	121	124	127	131	
5	12	9	6	5	0	4	7	10	12	14	18	19	28	27	32	34	36	40	44	47	50	53	56	60	61	65	67	73	72	74	78	79	83	84	86	89	92	94	97	99	104	106	108	113	115	119	120	123	126	130	
6	15	12	11	7	5	0	3	6	8	10	14	15	24	23	28	30	32	36	40	43	46	49	52	56	57	61	63	69	68	70	74	75	79	80	82	85	88	90	93	95	100	102	104	109	111	115	116	119	122	126	
7	19	16	13	12	7	5	0	11	5	7	11	12	21	20	25	27	29	33	37	40	43	46	49	53	54	58	60	66	65	67	71	72	76	77	79	82	85	87	90	92	97	99	101	106	108	112	113	116	119	123	
8	21	18	16	13	10	6	3	0	5	6	11	11	20	19	24	26	28	32	36	39	42	45	48	52	53	57	59	65	64	66	70	71	75	76	78	81	84	86	89	91	96	98	100	105	107	111	112	115	118	122	
9	26	23	20	19	14	12	7	8	0	2	6	7	16	15	20	22	24	28	32	35	38	41	44	48	49	53	55	61	60	62	66	67	71	72	74	77	80	82	85	87	92	94	96	101	103	107	108	111	114	118	
10	27	24	22	19	16	12	9	6	5	0	5	5	14	13	18	20	22	26	30	33	36	39	42	46	47	51	53	59	58	60	64	65	69	70	72	75	78	80	83	85	90	92	94	99	101	105	106	109	112	116	
11	31	28	25	24	19	17	12	11	5	5	0	2	12	10	15	17	19	23	27	30	33	36	39	43	44	48	50	56	55	57	61	62	66	67	69	72	75	77	80	82	87	89	91	96	98	102	103	106	109	113	
